Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,024844","-0,012773","0,34999",0,0,0,"15,652","0,077426","1,6502E-15","-3,9864E-16","0,08833","9,4391E-06","0,07706",0,0,0,0,0,0,package://scaraiit/meshes/base_link.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://scaraiit/meshes/base_link.STL,,Base 0.2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
humero,"1,0851E-08","0,048114","0,14266",0,0,0,5,"0,019084","-1,4804E-10","-2,2963E-09","0,020036","-0,00043182","0,0013447",0,0,0,0,0,0,package://scaraiit/meshes/humero.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://scaraiit/meshes/humero.STL,,humensamb-1,Origin_hombro,Axis_hombro,hombro,revolute,"-0,024844","-0,36049","0,067842","1,5708",0,"-0,18107",base_link,0,1,0,0,0,0,0,,,,,,,,
rc,"6,9227E-07","0,15158","0,13901",0,0,0,15,"0,011379","1,7481E-08","-5,0618E-08","0,007139","-0,0017743","0,0062172",0,0,0,0,0,0,package://scaraiit/meshes/rc.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://scaraiit/meshes/rc.STL,,Radio-cubito angosto 3-1,Origin_codo,Axis_codo,codo,revolute,0,"0,0375","0,33",0,"-1,5265",0,humero,0,1,0,0,0,0,0,,,,,,,,
zeta,"-0,011881","0,12518","-0,016578",0,0,0,2,"0,0028275","3,4325E-06","2,9995E-10","0,00010967","9,9633E-12","0,0028174",0,0,0,0,0,0,package://scaraiit/meshes/zeta.STL,"0,75294","0,75294","0,75294",1,0,0,0,0,0,0,package://scaraiit/meshes/zeta.STL,,Zeta angosto 2-1,Origin_pris,Axis_pris,pris,prismatic,"0,016578",0,"0,33289",0,"1,5708",0,rc,0,1,0,0,0,0,0,,,,,,,,
